ID,Service ID,Service Code,Service Name (EN),Service Name (AR),Medical Center Name,Medical Center ID,Price Before Discount,Price After Discount,Contract Price,Created At,Updated At
1,1,MSCT BRAIN,CT Scan of the Brain,أشعة مقطعيه متعددة المقاطع للمخ,Medical Center 1,22,600,600,600,4/2/2025 16:44,4/2/2025 16:44
2,1,MSCT BRAIN LAB.,CT Scan of the Brain with Full Protocol,أشعة مقطعيه للمخ البروتوكول كامل,Medical Center 1,2,1000,1000,1000,4/2/2025 16:44,4/2/2025 16:44
3,1,MSCT BRAIN LAB. INTERPOLATION,CT Scan of the Brain with Interpolation,مقطعية متعددة للمخ الب بروتوكول استكمال,Medical Center 1,2,796,989,324,4/2/2025 16:44,4/2/2025 16:44
4,1,MSCT LAB. PROTOCOL,CT Scan of the Body with Full Protocol,مقطعية متعددة الب بروتوكول كامل اى منطقة فى الجسم,Medical Center 1,2,787,491,134,4/2/2025 16:44,4/2/2025 16:44
5,1,MSCT SCANOGRAM,CT Scanogram of the Body,أشعة مقطعيه لقياس أطول االطراف,Medical Center 1,2,580,405,20,4/2/2025 16:44,4/2/2025 16:44
6,1,MSCT ANTEVERSION ANGLE,CT Scan of the Hip and Knee Anteversion Angle,مقطعية متعددة لقياس زاوية الفخذ والركبة,Medical Center 1,2,626,639,209,4/2/2025 16:44,4/2/2025 16:44
7,1,MSCT BRAIN VENOGRAPHY,CT Scan of the Brain with Venography,أشعة مقطعيه متعدده الورده المخ بالصبغه,Medical Center 1,1,595,696,224,4/2/2025 16:44,4/2/2025 16:44
8,8,MSCT A. CEREBRAL,CT Scan of the Cerebral Arteries,أشعة مقطعيه متعدده المقاطع لشرايين المخ,Medical Center 1,1,323,132,123,4/2/2025 16:44,4/2/2025 16:44
9,11,MSCT A. CEREBRAL&VENOGRAPHY,CT Scan of the Cerebral Arteries with Venography,أشعة مقطعيه متعدده لشرايين و اورده المخ بالصبغه,Medical Center 1,1,716,212,478,4/2/2025 16:44,4/2/2025 16:44
10,10,MSCT A. CAROTIDS,CT Scan of the Carotid Arteries,أشعة متعدده المقاطع للشرايين السباتية,Medical Center 1,2,177,669,6,4/2/2025 16:44,4/2/2025 16:44
11,11,MSCT A. CEREBRAL&CAROTIDS,CT Scan of the Cerebral and Carotid Arteries,أشعة مقطعية متعددة على شرايين المخ و السباتية,Medical Center 1,2,3000,3000,3000,4/2/2025 16:44,4/2/2025 16:44
